name,email_address,social_security_num,gender_age,ethnicity,movie1,movie2,movie3,movie4,movie5
Nathaniel Burnett,teresalopez@example.org,530-59-4576,Male 35-54,African-American or Black,Life,Rocky II,Superman Returns,An Officer and a Gentleman,Malcolm X
Tamara Thompson,robinbutler@example.org,271-16-6433,Male 35-54,Caucasian or White,Avengers: Endgame,Spider-Man 3,Avatar,Titanic,Superman Returns
Rachel Roth,lmartin@example.org,762-36-6538,Male 35-54,Caucasian or White,Hannibal,Pulp Fiction,Ghost,Pretty Woman,Goodfellas
Kathleen Case,omcclure@example.net,206-56-4447,Male 35-54,Caucasian or White,Casablanca,Lawrence of Arabia,Citizen Kane,Raging Bull,The Mothman Prophecies
Diana Moore,stricklandjodi@example.org,245-25-2718,Male 35-54,American Indian or Alaska Native,Dangerous Liaisons,The house of the spirits,The Lord of the Rings: The Return of the King,August: Osage County, 
Ms. Tracy Blair,rodriguezderrick@example.com,623-40-3146,Male 35-54,Caucasian or White,Braveheart,Gladiator,300,The Godfather,Troy
Joseph Lloyd,seth25@example.net,298-68-8449,Male 25-34,Other,Avengers: Infinity War,Spider-Man 2,Son of God,Fire Over England,Rush Hour 2
Jeremy Schwartz,jessica62@example.org,079-91-2915,Male 35-54,Caucasian or White,Big Hero 6,It's a Wonderful Life,Return to Me,Chances Are,The American President
Adam Rangel,douglas59@example.org,226-38-5277,Female 18-24,Caucasian or White,The Simpsons Movie,The SpongeBob SquarePants Movie,Are We There Yet?,WALLÂ·E,The Lego Movie
Russell Carter,susanwhite@example.com,722-98-1429,Male 35-54,Other,Enter the Void,High Fidelity,America's Sweethearts,Explorers,Deathproof
Guy Hunter,qodom@example.com,648-16-9065,Male 35-54,Caucasian or White,Star Wars: Episode IV - A New Hope,Jurassic Park,The Fox and the Hound,Flash Gordon,Robin Hood
Brett Finley,janthony@example.com,010-34-7472,Male 25-34,Caucasian or White,10 Things I Hate About You,The Godfather,Moana,The Lord of the Rings,Forrest Gump
Ashley Fowler,lauren86@example.org,504-86-9027,Male 35-54,Caucasian or White,Forrest Gump,The Wolf of Wall Street,Pulp Fiction,The Hangover,"Good Morning, Vietnam"
Steven Kelley,jon90@example.org,573-67-5003,Male 35-54,Caucasian or White,Spaceballs,The Matrix,District 9,Donnie Darko,Avengers: Endgame
Lisa Davis,floresraymond@example.com,261-18-6731,Male 25-34,Caucasian or White,Made of Honor,Avengers: Endgame,Zeus and roxanne,Frozen,Moana
Eddie Watson,amy81@example.com,194-40-0405,Male 18-24,Caucasian or White,Frozen,The Hustle,Dumbo, , 
Jessica Mejia DDS,cindyrivera@example.net,660-03-4457,Male 25-34,Caucasian or White,Casino,Goodfellas,Kill the Irishman,The Boondock Saints,The Big Lebowski
Amanda Campos,ycooper@example.net,320-75-6078,Male 35-54,Caucasian or White,The Ultimate Gift,10 Things I Hate About You,27 Dresses,How to Lose a Guy in 10 Days,A Madea Family Funeral
Patricia Gilbert,johnbenitez@example.net,592-38-4054,Male 14-17,African-American or Black,The SpongeBob SquarePants Movie,Teenage Mutant Ninja Turtles,Naruto the Movie: Ninja Clash in the Land of Snow,Dragon Ball Z: Doragon bÃ´ru Z - Fukkatsu no 'F', 
Alison Kelly,jonathan52@example.net,080-45-0620,Female 14-17,Caucasian or White,Transformers,The Matrix Reloaded, , , 
Robert Hudson,zhernandez@example.net,348-92-3640,Female 14-17,Caucasian or White,Pulp fiction,Pie,Forest gump,Shaeshank redemption,Terminatir
Brandi Lopez DDS,stewartjonathan@example.com,754-01-7383,Female 14-17,Caucasian or White,Maleficent,Toy Story,Coraline, , 
Jasmine Blevins,huntpaula@example.com,840-20-7385,Male 14-17,Caucasian or White,The King of Comedy, , , , 
Anthony Smith,crocha@example.com,889-25-4984,Female 18-24,Caucasian or White,Jurassic Park,The Conjuring,Annabelle,Kingsman: The Secret Service,King Kong
Tracy Neal,branchstephanie@example.net,876-80-7418,Male 25-34,Caucasian or White,Wanderlust,Accepted,Avengers: Endgame,Tommy Boy,Tusk
Kenneth Preston,shawn98@example.net,534-90-1111,Male 25-34,American Indian or Alaska Native,Fear and Loathing in Las Vegas,Pink Floyd: The Wall,V for Vendetta,Fight Club,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
Nicole Wilkinson,mendozatimothy@example.com,432-45-4957,Male 25-34,Caucasian or White,Joker,Avengers: Endgame,Toy Story 4,The Lion King,Avengers: Infinity War
Rebekah Sutton,vperez@example.com,895-96-3518,Male 35-54,Caucasian or White,Star Trek,Alien: Covenant,Terminator 2: Judgment Day,Hannibal,Avengers: Infinity War
Kevin Andersen,wallacemeagan@example.com,175-12-0080,Male 25-34,Caucasian or White,Spider-Man: Far from Home,Avengers: Endgame,Alita: Battle Angel,Deadpool,Deadpool 2
Ashley Huerta,scarter@example.com,184-97-1640,Male 25-34,Caucasian or White,Avengers: Endgame,Spider-Man: Far from Home,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode III - Revenge of the Sith,Star Trek II: The Wrath of Khan
Nathaniel Carter,castrochristina@example.net,400-29-6883,Male 18-24,African-American or Black,Us,Baby boy, , , 
Richard Collins,davidburns@example.net,671-69-5069,Male 25-34,Caucasian or White,The 300 Spartans,After Earth,Los Borgia, , 
William Robinson,edwardsjennifer@example.com,359-43-4403,Male 25-34,Caucasian or White,Inception,Alien,Batman Begins,Looper, 
Meagan Marshall,jeffreybell@example.net,451-64-1374,Male 18-24,Caucasian or White,Avengers: Infinity War,Spider-Man: Far from Home,Ratatouille,Avengers: Age of Ultron,Iron Man
Teresa Allen,michelle06@example.net,029-75-0181,Male 25-34,Asian or Pacific Islander,Star Wars: Episode IV - A New Hope,The Lord of the Rings: The Fellowship of the Ring, , , 
Donald Arnold,emily67@example.com,039-24-8058,Male 25-34,African-American or Black,Scott Pilgrim vs. the World,Sky High,The Dark Knight,Spider-Man 2,Avengers: Infinity War
Jennifer Brown,amber76@example.com,019-26-9610,Male 25-34,Caucasian or White,Terminator Salvation,Cannibal Holocaust,RoboCop,Resident Evil,Resident Evil: Afterlife
Anthony Russell,anthonypruitt@example.com,019-92-9012,Male 14-17,Asian or Pacific Islander,Avengers: Endgame,Star Wars: Episode VI - Return of the Jedi,Avengers: Infinity War, , 
Brian Patterson,jennifer28@example.net,796-70-6456,Female 14-17,Caucasian or White,Avengers: Endgame,Wonder Woman,Captain Marvel, , 
Emma Henderson,jeffrey02@example.com,639-45-2744,Female 14-17,Caucasian or White,Annabelle,It,Dances with Wolves,Ghost,The Boss
Stephanie Clayton,jamesjohnson@example.com,614-54-5491,Male 18-24,African-American or Black,Avengers: Endgame, , , , 
Kimberly Lee,wanda15@example.net,676-99-8507,Female 18-24,Caucasian or White,Avengers: Infinity War,The Lion King,Star Wars: Episode VII - The Force Awakens,Rogue One,Captain America: The Winter Soldier
Kimberly Moody,nharrison@example.net,272-69-0054,Female 18-24,Caucasian or White,The Princess Bride,Star Wars: Episode VI - Return of the Jedi,The Lion King,Secondhand Lions,The Little Mermaid
Makayla Rodriguez,reyescarlos@example.net,471-60-4502,Female 14-17,Caucasian or White,Twilight,The Wizard of Oz,A Dogs Life,Halloween,Titanic
Megan Hubbard,brandonolson@example.org,676-96-4175,Male 35-54,Caucasian or White,Casablanca,Airplane!,Pulp Fiction,Brokeback Mountain,La ciociara
Amy Coleman,kathleen63@example.org,309-77-1319,Female 14-17,African-American or Black,Nancy Drew,The Lion King,Child's Play,Matilda,Cinderella
Brian Knight,colemanstephanie@example.org,102-69-2445,Male 35-54,Caucasian or White,Dumb and Dumber,The Goonies,Ghostbusters,Toy Soldiers,The Lost Boys
Lawrence Joseph,zwaters@example.com,109-67-1315,Female 18-24,Caucasian or White,I Can Only Imagine, , , , 
Brandon Shaw,pevans@example.org,758-76-5820,Male 35-54,African-American or Black,Star Wars: Episode IV - A New Hope, , , , 
Lisa Morrison DVM,pricechristopher@example.com,404-92-6905,Male 35-54,Other,The Matrix,The Matrix Reloaded,The Matrix Revolutions,The Godfather,The Godfather: Part II
Melinda Mccormick,deniseellison@example.org,065-98-0622,Female 14-17,Caucasian or White,Interstellar,Nightcrawler,Inception,The Devil Wears Prada,Avatar
Amber Lewis,shannonhester@example.com,247-47-3057,Female 14-17,Caucasian or White,It,Frozen,Us,Deadpool,Deadpool 2
Jason Potts,hwyatt@example.net,617-89-5919,Female 14-17,African-American or Black,Black Panther,Avengers: Endgame,Us,It,Claidine
Jordan Baxter,suarezblake@example.org,153-23-4363,Male 25-34,Caucasian or White,Office Space,Terminator 2: Judgment Day,Star Wars: Episode II - Attack of the Clones,Rocky II,The Godfather
Breanna Harrison,jesus49@example.net,715-88-5394,Female 14-17,Caucasian or White,The Little Mermaid,Titanic,The Fast and the Furious,The Goonies, 
Joseph Farley,nichole96@example.org,362-35-9839,Male 14-17,Caucasian or White,The Rocky Horror Picture Show,Toy Story,Mrs. Doubtfire,The Santa Clause, 
Erik Goodwin,brocha@example.net,154-55-6187,Female 14-17,Caucasian or White,Conan the Barbarian,Pulp Fiction,101 Dalmatians, , 
Sharon Gonzales,tina52@example.org,221-98-7462,Female 14-17,Caucasian or White,Rocky,The Bodyguard,Where the Heart Is,Avengers: Endgame,The Hunger Games
Morgan Hodges,gary81@example.net,647-83-1176,Female 14-17,Caucasian or White,Blazing Saddles, , , , 
Alexandra Avery,vrubio@example.org,286-62-8590,Female 14-17,Caucasian or White,Walk the Line,Dirty Dancing,Dirty Dancing: Havana Nights,The Hunger Games,Willy Wonka & the Chocolate Factory
Christine Vargas,phillipsshari@example.com,017-87-6475,Male 14-17,Caucasian or White,Avengers: Endgame,Bohemian Rhapsody,Spider-Man, , 
Tanya Holder,maryespinoza@example.com,633-13-9834,Female 18-24,Caucasian or White,Dead Poets Society,Monster in Law,White Chicks,Beauty and the Beast,Deadpool
Kristina Marshall,bmaldonado@example.net,825-83-6685,Male 14-17,Caucasian or White,Godzilla: King of the Monsters,Men in black, ,Avengers: Age of Ultron,PokÃ©mon Detective Pikachu
Cody Kim,frenchgregory@example.net,727-15-8381,Female 14-17,African-American or Black,The Avengers,Captain America,Black Panther,Aquaman,WALLÂ·E
Dr. Donna Gates,alexander89@example.org,169-96-0585,Female 18-24,African-American or Black,The Incredibles,Juice,The Lego Ninjago Movie,Corpse Bride,Little Shop of Horrors
Joshua Baker,mhamilton@example.org,356-49-9177,Male 14-17,Caucasian or White,Fast and Furious,Blended,Year One,Dope,Central Intelligence
Jessica Pope,spenceranthony@example.com,171-18-0010,Female 18-24,Caucasian or White,Scream,(500) Days of Summer,Scott Pilgrim vs. the World,The Perks of Being a Wallflower,"Girl, Interrupted"
Clayton Perez,wheeleralexis@example.org,863-72-3402,Female 14-17,Caucasian or White,300,Steel Magnolias,Pixels, , 
Douglas Jimenez,andre37@example.org,677-22-4628,Male 35-54,Caucasian or White,Dirty Rotten Scoundrels,Big,Batman Begins,Batman Returns,Rain Man
Philip Davis,wjones@example.net,476-81-6617,Male 35-54,Caucasian or White,Titanic,Avatar,The Da Vinci Code,The Reader,Perfume: The Story of a Murderer
Diane Dudley,wvillegas@example.com,743-27-6795,Male 14-17,Caucasian or White,Batman,Spider-Man,Deadpool,Ride Along,National Lampoon's Christmas Vacation
John Hudson,hmartin@example.net,824-02-7344,Female 25-34,African-American or Black,Independence Day,Ray,Mission: Impossible - Ghost Protocol,The Prophet,Malcolm X
Miss Amy Johns,pharris@example.com,376-93-9317,Female 18-24,Asian or Pacific Islander,Avengers: Infinity War,Avengers: Endgame,Sherlock Holmes,Aladdin,Dunkirk
Anthony Bennett,morenojoshua@example.com,422-19-1457,Male 35-54,Caucasian or White,Avengers: Endgame,2012,Titanic,Avatar,Fast & Furious Presents: Hobbs & Shaw
Katelyn Davis,michael39@example.net,583-01-6118,Female 18-24,African-American or Black,Love & Basketball,Coach Carter,The Lion King,Boo! A Madea Halloween, 
Michelle Davis,mary67@example.org,896-38-7311,Female 14-17,Caucasian or White,No idea, , , , 
Tonya Bell DDS,housekatrina@example.net,626-07-3469,Male 14-17,Caucasian or White,Fast and Furious,Transformers,Batman,The Spiderwick Chronicles, 
Taylor Murphy,melissa23@example.com,777-69-9418,Female 18-24,Caucasian or White,Spider-Man: Far from Home,Avengers: Age of Ultron,Iron Man,Sweet Home Alabama,The Lion King
Deborah Wilson,karen13@example.com,676-48-4791,Male 25-34,African-American or Black,The Boy in the Striped Pajamas,Transformers,The Transporter,Aladdin,Rambo: First Blood Part II
Chelsea Mcbride,ghunt@example.net,629-63-1101,Female 18-24,Caucasian or White,Piglet's Big Movie,The Boy in the Striped Pajamas,Up,The Lion King, 
Jason Fleming,gibsonmichelle@example.com,304-37-8878,Female 18-24,Caucasian or White,Goodfellas,Good Boys,The Hustle,Once Upon a Time ... in Hollywood,the kitchen
Michael Rodriguez,joshuacraig@example.org,817-62-5186,Female 18-24,Caucasian or White,Twilight,White Chicks,The Waterboy,The SpongeBob SquarePants Movie,Rango
Ricky Wong PhD,hcombs@example.org,045-44-0232,Male 25-34,Caucasian or White,Harry and the Hendersons,Fast and Furious, , , 
Cameron Moody,bryanhernandez@example.com,005-06-0425,Male 35-54,African-American or Black,Resident Evil: Degeneration,Resident Evil: Apocalypse,The Hills Have Eyes,The Hills Have Eyes II,Rambo: First Blood Part II
Mr. Austin Powell,christopher40@example.com,895-06-0188,Male 35-54,African-American or Black,The Last Samurai,The Equalizer,Creed, , 
Elizabeth Decker,ymerritt@example.net,658-06-7526,Female 14-17,Caucasian or White,The Breakfast Club,Ghostbusters,Black Panther,Beetlejuice,Mulan
Mark Edwards,joshuaperez@example.com,594-61-5459,Male 35-54,Caucasian or White,Star Wars: Episode IV - A New Hope,Star Wars: Episode VI - Return of the Jedi,Jaws,The Shining,The Shawshank Redemption
Ryan Garza,dannywhite@example.org,678-05-5244,Female 18-24,African-American or Black,Home Alone,Home Alone 2: Lost in New York,The Grinch,Love & Basketball,Menace II Society
Anthony Decker,david88@example.net,079-09-7430,Male 25-34,Asian or Pacific Islander,Goodfellas,Pulp Fiction,The Dark Knight,The Lord of the Rings: The Two Towers,Saving Private Ryan
Shannon Rodgers MD,mistyclark@example.com,683-42-6471,Female 14-17,Caucasian or White,It,Pocahontas,Cats & Dogs,27 Dresses,The Land Before Time
Charles Rhodes,crosbycrystal@example.net,574-42-1926,Male 14-17,Caucasian or White,Transformers: Age of Extinction,The Nightmare Before Christmas,Terminator 2: Judgment Day,Zombieland,Aladdin
Tamara Bowman,justin73@example.org,810-18-1289,Female 18-24,American Indian or Alaska Native,The Princess Bride,The Grand Budapest Hotel,Howl's Moving Castle,Baby Driver,Heathers
Darrell Wolfe,jamesgonzalez@example.com,640-77-3024,Female 18-24,Caucasian or White,Anne of green gables,Anne of avonlea,The sound of music,Love comes softly,The princess bride
Stephanie Torres,kempjustin@example.org,523-04-9898,Male 25-34,Caucasian or White,Liar Liar,Back to the Future,Spaceballs, , 
Amy Henry,zbrown@example.com,002-82-9740,Male 14-17,Caucasian or White,Avatar,Spider,Fast and Furious,Superman,Star Wars: Episode VI - Return of the Jedi
Daniel Smith,clarkjonathan@example.com,648-07-6161,Male 25-34,American Indian or Alaska Native,The Boondock Saints,Fight Club,Snatch,Donnie Brasco,The Usual Suspects
Madeline Walter,zhoover@example.net,867-11-1279,Male 35-54,African-American or Black,soul plane,47 Ronin,set it off,Basic Instinct,Candyman
Christian Wilkerson,olsentodd@example.net,758-84-4989,Male 14-17,Other,Spider-Man,Spider-Man 2,Spider-Man 3,Spider-Man: Far from Home,It
David Gill,singletontaylor@example.org,722-29-7814,Male 35-54,Caucasian or White,Gremlins,Coming to America,Jacob's Ladder,Child's Play 2,A Clockwork Orange
Victoria Warren,kelly63@example.com,754-57-5263,Female 14-17,Caucasian or White,After,Daddy Day Care,The Game Plan,Sex and the City,Fifty Shades Freed
Brian Jackson,john68@example.org,415-17-8996,Female 25-34,Caucasian or White,Remember the Titans,The Notebook,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 1,Remember Me
Patricia Castillo,raymond87@example.org,589-76-4926,Male 25-34,Other,The Warriors,Ip Man 2,"Lock, Stock and Two Smoking Barrels",RocknRolla, 
Kathleen Keller,onealstephanie@example.org,393-89-9533,Male 25-34,African-American or Black,The Dark Knight,Armageddon,The Lion King,Avengers: Endgame,Justice League
Amy Perez,sosborne@example.com,759-69-9069,Male 14-17,Caucasian or White,Napoleon Dynamite,Dumb and Dumber, , , 
Ralph Lyons,nicole42@example.com,348-90-9404,Male 14-17,Caucasian or White,Batman Forever,Batman Begins,Batman v Superman: Dawn of Justice, , 
Deborah Brown,michaelsantiago@example.com,489-11-7343,Female 14-17,Other,Twilight Zone: The Movie,la casa de papel, , , 
Kimberly Rodriguez,glennestrada@example.com,398-94-1038,Male 35-54,Caucasian or White,Napoleon Dynamite,"The Good, the Bad and the Ugly",The Lord of the Rings,Star Wars: Episode IV - A New Hope, 
Charles Oneal,mday@example.com,740-25-2246,Female 25-34,Caucasian or White,The Woman in Black,Insidious,Dinner for Schmucks,A Simple Favor,Halloween
Nicole Walls,johnnybennett@example.org,605-36-8739,Male 35-54,African-American or Black,Terminator 2: Judgment Day,Terminator 3: Rise of the Machines,Planet of the Apes,Dawn of the Dead,Alien
Steven Miller,lisajohnson@example.org,071-72-8081,Female 18-24,Caucasian or White,Grave of the Fireflies,NausicaÃ¤ of the Valley of the Wind,Coco,Fantasia,The Incredibles
John Brown,kimberlythomas@example.org,335-73-2883,Female 14-17,Caucasian or White,Good Burger,Big Momma's House,Suicide Squad,Cinderella,Moana
Brad Jackson,johnstonphillip@example.com,578-69-1467,Female 14-17,Caucasian or White,The Lovely Bones,Blackfish,Hustlers,The Nightmare Before Christmas,The Conjuring
